pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-05-29,6706,惠特科技股份有限公司,TWSE,205.5,1.1353,0.992,-0.0508,23
2026-05-29,6127,九豪精密陶瓷股份有限公司,OTC,67.3,1.1223,0.942,0.0,24
2026-05-29,1582,信錦企業股份有限公司,TWSE,115.59,1.0801,0.274,0.0,25
2026-05-29,2481,強茂股份有限公司,TWSE,162.5,1.0776,0.552,0.0,26
2026-05-29,3673,"TPK Holding Co., Ltd.",TWSE,86.3,1.0426,0.621,-0.0182,27
2026-05-29,6654,天正國際精密機械股份有限公司,OTC,154.0,1.0094,0.311,0.0,28
2026-05-29,6175,立敦科技股份有限公司,OTC,103.0,0.9918,0.747,-0.0374,29
2026-05-29,2305,全友電腦股份有限公司,TWSE,23.8,0.9817,0.868,0.0,30
2026-05-29,2355,敬鵬工業股份有限公司,TWSE,65.3,0.981,0.733,-0.0254,31
2026-05-29,6016,康和綜合證券股份有限公司,OTC,29.6,0.9773,0.749,0.0,32
2026-05-29,5011,久陽精密股份有限公司,OTC,18.7,0.9232,0.434,-0.0386,33
2026-05-29,6190,萬泰科技股份有限公司,OTC,92.0,0.917,0.825,0.0,34
2026-05-29,6446,藥華醫藥股份有限公司,TWSE,930.0,0.9031,0.516,0.0,35
2026-05-29,6166,凌華科技股份有限公司,TWSE,132.0,0.8812,0.879,-0.0294,36
2026-05-29,6821,聯寶電子股份有限公司,OTC,70.1,0.8776,0.534,-0.0264,37
2026-05-29,2478,大毅科技股份有限公司,TWSE,139.0,0.8239,0.996,0.0,38
